adwordscustomerid,category,adcost,adclicks,impressions,cpc,adbudget,time_idx,date,month,dayofweek,dayofyear
id_0001,Computers_Electronics_and_Technology,16.143085,15,149,1.0762056666666666,64.51111486842105,0,2019-01-01,1,1,1
id_0001,Computers_Electronics_and_Technology,38.065914,29,467,1.312617724137931,64.51111486842105,1,2019-01-02,1,2,2
id_0001,Computers_Electronics_and_Technology,69.29027,57,469,1.2156187719298246,64.51111486842105,2,2019-01-03,1,3,3
id_0001,Computers_Electronics_and_Technology,26.558758,28,389,0.9485270714285716,64.51111486842105,3,2019-01-04,1,4,4
id_0001,Computers_Electronics_and_Technology,22.276663,20,179,1.11383315,64.51111486842105,4,2019-01-05,1,5,5
id_0001,Computers_Electronics_and_Technology,28.045586,22,187,1.2747993636363637,64.51111486842105,5,2019-01-06,1,6,6
id_0001,Computers_Electronics_and_Technology,89.571884,71,670,1.2615758309859155,64.51111486842105,6,2019-01-07,1,0,7
id_0001,Computers_Electronics_and_Technology,64.46149,63,647,1.023198253968254,64.51111486842105,7,2019-01-08,1,1,8
id_0001,Computers_Electronics_and_Technology,118.88786,65,681,1.829044,64.51111486842105,8,2019-01-09,1,2,9
id_0001,Computers_Electronics_and_Technology,90.14182,53,607,1.7007890566037736,64.51111486842105,9,2019-01-10,1,3,10
id_0001,Computers_Electronics_and_Technology,42.75362,42,523,1.0179433333333332,64.51111486842105,10,2019-01-11,1,4,11
id_0001,Computers_Electronics_and_Technology,26.074991,16,224,1.6296869375,64.51111486842105,11,2019-01-12,1,5,12
id_0001,Computers_Electronics_and_Technology,67.90874,31,250,2.190604516129032,64.51111486842105,12,2019-01-13,1,6,13
id_0001,Computers_Electronics_and_Technology,100.21791,62,634,1.6164179032258066,64.51111486842105,13,2019-01-14,1,0,14
id_0001,Computers_Electronics_and_Technology,153.31732,78,824,1.9656066666666665,64.51111486842105,14,2019-01-15,1,1,15
id_0001,Computers_Electronics_and_Technology,61.897163,63,729,0.9824946507936508,64.51111486842105,15,2019-01-16,1,2,16
id_0001,Computers_Electronics_and_Technology,30.32236,46,633,0.6591817391304348,64.51111486842105,16,2019-01-17,1,3,17
id_0001,Computers_Electronics_and_Technology,80.1571,49,598,1.6358591836734693,64.51111486842105,17,2019-01-18,1,4,18
id_0001,Computers_Electronics_and_Technology,23.048075,17,225,1.3557691176470588,64.51111486842105,18,2019-01-19,1,5,19
id_0001,Computers_Electronics_and_Technology,22.172976,24,198,0.923874,64.51111486842105,19,2019-01-20,1,6,20
id_0001,Computers_Electronics_and_Technology,80.33887,65,660,1.2359826153846154,64.51111486842105,20,2019-01-21,1,0,21
id_0001,Computers_Electronics_and_Technology,76.39172,73,765,1.0464619178082193,64.51111486842105,21,2019-01-22,1,1,22
id_0001,Computers_Electronics_and_Technology,62.54264,82,808,0.7627151219512195,64.51111486842105,22,2019-01-23,1,2,23
id_0001,Computers_Electronics_and_Technology,81.1507,88,841,0.9221670454545454,64.51111486842105,23,2019-01-24,1,3,24
id_0001,Computers_Electronics_and_Technology,75.77237,70,609,1.0824624285714286,64.51111486842105,24,2019-01-25,1,4,25
id_0001,Computers_Electronics_and_Technology,24.683472,26,295,0.9493643076923076,64.51111486842105,25,2019-01-26,1,5,26
id_0001,Computers_Electronics_and_Technology,29.793545,32,227,0.93104828125,64.51111486842105,26,2019-01-27,1,6,27
id_0001,Computers_Electronics_and_Technology,82.29987,73,710,1.1273954794520549,64.51111486842105,27,2019-01-28,1,0,28
id_0001,Computers_Electronics_and_Technology,90.29492,81,665,1.1147520987654322,64.51111486842105,28,2019-01-29,1,1,29
id_0001,Computers_Electronics_and_Technology,100.80092,86,744,1.1721037209302323,64.51111486842105,29,2019-01-30,1,2,30
id_0001,Computers_Electronics_and_Technology,85.75528,71,772,1.2078208450704224,64.51111486842105,30,2019-01-31,1,3,31
id_0001,Computers_Electronics_and_Technology,73.13552,61,648,1.198942950819672,41.78201955263159,31,2019-02-01,2,4,32
id_0001,Computers_Electronics_and_Technology,43.16646,25,259,1.7266584,41.78201955263159,32,2019-02-02,2,5,33
id_0001,Computers_Electronics_and_Technology,27.139421,23,264,1.1799748260869565,41.78201955263159,33,2019-02-03,2,6,34
id_0001,Computers_Electronics_and_Technology,81.302216,53,649,1.534004075471698,41.78201955263159,34,2019-02-04,2,0,35
id_0001,Computers_Electronics_and_Technology,56.875282,72,662,0.7899344722222222,41.78201955263159,35,2019-02-05,2,1,36
id_0001,Computers_Electronics_and_Technology,50.290333,61,456,0.8244316885245901,41.78201955263159,36,2019-02-06,2,2,37
id_0001,Computers_Electronics_and_Technology,38.535755,75,385,0.5138100666666667,41.78201955263159,37,2019-02-07,2,3,38
id_0001,Computers_Electronics_and_Technology,53.700558,63,333,0.8523898095238095,41.78201955263159,38,2019-02-08,2,4,39
